prompt_id,prompt,category,difficulty,expected_reasoning,domain,constraint_count,estimated_complexity,output_format,source,augmentation_band,prompt_length,word_count,estimated_input_tokens,contains_code,contains_math,contains_json,contains_markdown,contains_numbers,contains_question,reasoning_score,technical_complexity,reasoning_depth,task_complexity,constraint_complexity,context_complexity,complexity_score,constraint_density,requested_format,presence_of_tables,sql_indicators,api_keywords,system_design_keywords,algorithmic_complexity,dependency_between_subtasks,multi_turn_context,code_indicators,math_indicators,routing_score,routing_confidence,local_latency_ms,remote_latency_ms,local_cost,remote_cost,local_quality_score,remote_quality_score,local_llm_quality,remote_llm_quality,local_heuristic_quality,remote_heuristic_quality,local_tokens,remote_tokens,label
imported_848-7,"Give me five useful facts about Environmental Monitoring Drones, including Environmental Monitoring.",general,easy,low,uav_drone_operation,0,0.163,text,10k_chatbot_prompts,under_100,100,12,25,0,0,0,0,0,0,2,0.32,0.0,0.25,0.0,0.0566,0.163,0.0,text,0,0,0,0,0,0,0,0,0,10,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_855-4,"Produce an executive summary of a detailed report on Lunar Surface Rovers. Synthesize findings about Lunar Rovers, Space Robotics, Rover Design, Navigation Systems, Lunar Terrain, separate evidence from interpretation, preserve caveats, and list unresolved questions.",summarization,easy,low,space_robotics,0,0.1587,text,10k_chatbot_prompts,under_100,267,35,67,0,0,0,0,0,0,2,0.0,0.0,0.41,0.0,0.1077,0.1587,0.0,text,0,0,0,0,0,0,0,0,0,13,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_41-10,"Give me five useful facts about Data-Centric Architecture, including Data-Centric Architecture.",general,easy,low,software_architecture,0,0.0864,text,10k_chatbot_prompts,under_100,95,11,24,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.2993,0.0864,0.0,text,0,0,0,1,0,0,0,0,0,12,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_004157,"Summarize a detailed cache layer for a distributed systems engineer, highlighting tail latency, message loss, and impact on partition. Format the response as YAML block. Use enough detail to support a robust answer, including context, assumptions, and acceptance criteria. Address security and privacy implications. Optimize for low-latency operational use. Context: I am preparing material about distributed_systems for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. The notes discuss summarize in relation to detailed, including the underlying mechanism and assumptions. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts. The notes discuss detailed in relation to distributed, including the realistic example and edge cases. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts. The notes discuss distributed in relation to systems, including the alternatives and decision criteria. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts. The notes discuss systems in relation to engineer, including the risks, limitations, and failure modes. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts.",summarization,medium,high,distributed_systems,0,0.6542,yaml,existing_project,100-250,1484,206,371,0,0,0,0,0,0,7,0.8592,0.2975,0.96,0.2,0.1684,0.6542,0.004878048780487805,yaml,0,0,1,1,0,0,0,0,0,68,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_001949,"Summarize a detailed labeling guideline for a ML engineer, highlighting F1 score, bias amplification, and impact on feature pipeline. Format the response as comparison matrix. Maintain a professional, neutral tone. Context: I am preparing material about machine_learning for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. The notes discuss summarize in relation to detailed, including the underlying mechanism and assumptions. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts. The notes discuss detailed in relation to labeling, including the realistic example and edge cases. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations into facts. The notes discuss labeling in relation to guideline, including the alternatives and decision criteria. Capture the main claim, supporting evidence, caveats, and any disagreement. Do not turn tentative observations.",summarization,easy,medium,machine_learning,0,0.3345,text,existing_project,100-250,1096,153,274,0,1,0,0,0,0,3,0.3059,0.2625,0.36,0.3,0.1466,0.3345,0.006578947368421052,text,0,0,1,0,0,0,0,0,1,33,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_310-1,"Summarize this in two sentences: Carbon Footprint Assessment covers carbon footprint, carbon assessment, emission reduction, sustainability, Greenhouse Gas Protocol.",summarization,easy,medium,carbon_management,0,0.2598,text,10k_chatbot_prompts,under_100,165,19,42,0,0,0,0,0,0,3,0.0,0.455,0.2,0.0,0.2262,0.2598,0.0,text,0,0,0,0,0,0,0,0,0,18,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_281-4,"Summarize this in two sentences: Herpetology covers herpetology, reptiles, amphibians, species identification, habitat.",summarization,easy,low,zoology,0,0.0551,text,10k_chatbot_prompts,under_100,119,13,30,0,0,0,0,0,0,1,0.0,0.0,0.2,0.0,0.064,0.0551,0.0,text,0,0,0,0,0,0,0,0,0,8,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
imported_868-7,"Summarize research notes about Black Hole Mergers for both specialists and executives. Reconcile claims involving black hole mergers, gravitational waves, astrophysical simulations, supermassive black holes, numerical relativity, identify contradictions, and retain methodological limitations.",summarization,medium,medium,black_holes,0,0.3702,text,10k_chatbot_prompts,under_100,293,33,74,0,0,0,0,0,0,4,0.0,0.0,1.0,0.0,0.1144,0.3702,0.0,text,0,0,0,0,0,0,0,0,0,28,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_363-4,"Prepare an in-depth briefing on Art and Music Tours, connecting art tours, music tours, cultural tourism, local galleries, museums. Compare credible perspectives, explain practical consequences, identify uncertainty, and recommend questions for further investigation. Context: I am preparing material about Art and Music Tours for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. Background notes: You possess extensive knowledge of various art forms, historical movements, and musical genres, as well as their cultural significance across different regions. When addressing common questions, such as 'What are the best art museums in Paris?' or 'Can you suggest any jazz concerts in New Orleans this weekend?', provide curated lists with brief descriptions and links to more information. For edge cases, like inquiries about lesser-known art spaces or niche music genres, utilize your knowledge to guide users to hidden gems or community events. Use tools like Google Maps for location-based queries, Eventbrite for concert listings, and local tourism sites for up-to-date information. Address art tours through the lens of underlying mechanism and assumptions. Connect it to music tours, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address music tours through the lens of realistic example and edge cases. Connect it to cultural tourism, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address cultural tourism through the lens of alternatives and decision criteria. Connect it to local galleries, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address local galleries through the lens of risks, limitations, and failure modes. Connect it to museums, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address museums through the lens of implementation sequence and dependencies. Connect it to art installations, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address art installations through the lens of testing or evidence needed to validate the result. Connect it to concert venues, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address concert venues through the lens of operational impact and maintenance concerns. Connect it to festivals, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address festivals through the lens of terminology that must remain consistent. Connect it to itineraries, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address itineraries through the lens of trade-offs involving cost, quality, time, and reliability. Connect it to themed tours, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address themed tours through the lens of questions a reviewer should ask. Connect it to local artists, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address local artists through the lens of underlying mechanism and assumptions. Connect it to upcoming events, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address upcoming events through the lens of realistic example and edge cases. Connect it to art tours, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address art tours through the lens of alternatives and decision criteria. Connect it to music tours, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address music tours through the lens of risks, limitations, and failure modes. Connect it to cultural tourism, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different recommendation. Address cultural tourism through the lens of implementation sequence and dependencies. Connect it to local galleries, distinguish established facts from assumptions, give a concrete example, and explain what evidence or constraints would lead to a different.",general,medium,medium,cultural_tourism,0,0.64,text,10k_chatbot_prompts,500-1000,5176,734,1294,0,0,0,0,0,1,6,0.2647,0.7,0.88,0.12,0.143,0.64,0.0027247956403269754,text,0,0,1,0,0,0,0,0,0,61,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_286-3,"Give me a brief overview of Conservation Biology of Birds, especially conservation biology.",summarization,easy,low,ornithology,0,0.1042,text,10k_chatbot_prompts,under_100,91,13,23,0,0,0,0,0,0,1,0.0,0.0,0.4,0.0,0.0527,0.1042,0.0,text,0,0,0,0,0,0,0,0,0,8,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
gen_003987,"Analyze whether a portfolio manager should prioritize cash-flow forecast improvements or direct mitigation of model drift. Format the response as annotated code block. Use enough detail to support a robust answer, including context, assumptions, and acceptance criteria. Optimize for low-latency operational use. Show the reasoning steps without skipping assumptions.",reasoning,medium,medium,finance,0,0.5141,code,existing_project,under_100,367,49,92,0,0,0,0,0,0,5,0.5381,0.3316,0.8,0.08,0.13,0.5141,0.04081632653061224,code,0,0,1,0,0,0,0,0,0,43,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_461-3,"Summarize research notes about Religious Practices for both specialists and executives. Reconcile claims involving religious practices, world religions, rituals, belief systems, cultural customs, identify contradictions, and retain methodological limitations.",summarization,medium,medium,world_cultures_general,0,0.3621,text,10k_chatbot_prompts,under_100,259,29,65,0,0,0,0,0,0,4,0.0,0.0,0.98,0.0,0.1058,0.3621,0.0,text,0,0,0,0,0,0,0,0,0,28,Medium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
gen_002563,"Analyze whether a portfolio manager should prioritize credit model improvements or direct mitigation of regulatory breach. Include interacting constraints, uncertainty, and second-order effects. Format the response as JSON object. Provide enough context for a precise answer without requiring external documents. Keep the answer under 180 words. Include at least 3 concrete examples. Discuss edge cases and failure modes.",reasoning,medium,medium,finance,0,0.3886,json,existing_project,under_100,421,58,106,0,0,0,0,1,0,4,0.2565,0.3113,0.65,0.18,0.1408,0.3886,0.05357142857142857,json,0,0,1,0,0,1,0,0,0,36,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_265-4,"Design and implement a production-ready component for Geospatial Database Management using Geospatial Database, PostGIS, Oracle Spatial, MongoDB, Spatial Indexing. Explain the architecture, data structures, error handling, tests, performance trade-offs, security concerns, and deployment strategy. Context: I am preparing material about Geospatial Database Management for a real project. The audience includes people with different levels of experience, so the response needs to be precise without assuming unstated background. Background notes: As your dedicated AI assistant specializing in Geospatial Database Management, I am here to provide you with expert guidance and support in the realms of geographic data storage, organization, and retrieval. My expertise encompasses a wide range of geospatial database systems, including PostGIS, Oracle Spatial, and MongoDB with geospatial capabilities. I can assist you in understanding data modeling techniques, such as the use of spatial indexes, and best practices for managing large datasets. I am equipped to answer common questions regarding data formats (like Shapefiles, GeoJSON, and KML), spatial queries, and the integration of geospatial data with other databases. For Geospatial Database, describe the underlying mechanism and assumptions. Relate it to PostGIS, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For PostGIS, describe the realistic example and edge cases. Relate it to Oracle Spatial, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For Oracle Spatial, describe the alternatives and decision criteria. Relate it to MongoDB, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For MongoDB, describe the risks, limitations, and failure modes. Relate it to Spatial Indexing, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For Spatial Indexing, describe the implementation sequence and dependencies. Relate it to Geographic Data, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For Geographic Data, describe the testing or evidence needed to validate the result. Relate it to Data Modeling, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change the implementation. For Data Modeling, describe the operational impact and maintenance concerns. Relate it to Spatial Queries, show representative interfaces or pseudocode where useful, and discuss validation, error handling, security, performance, and observability. Call out assumptions that would change.",coding,medium,medium,geospatial_analysis,0,0.6348,json,10k_chatbot_prompts,250-500,3305,435,827,0,0,0,0,0,1,6,0.5979,0.455,1.0,0.08,0.173,0.6348,0.0,json,0,1,1,1,1,0,0,0,0,71,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,REMOTE
imported_427-4,"Can you make a short, practical checklist for learning Boom Bap? Focus on Boom Bap, Hip-Hop, beat-making, sampling, DJ Premier.",planning,easy,low,hip_hop_non_political,0,0.0679,text,10k_chatbot_prompts,under_100,127,20,32,0,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0669,0.0679,0.0,text,0,0,0,0,0,0,0,0,0,9,High,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOCAL
