prompt_id,prompt,category,difficulty,expected_reasoning,prompt_length,word_count,estimated_input_tokens,contains_code,contains_math,contains_json,contains_markdown,contains_numbers,contains_question,reasoning_score,technical_complexity,reasoning_depth,task_complexity,constraint_complexity,context_complexity,complexity_score,local_latency_ms,remote_latency_ms,local_cost,remote_cost,local_quality_score,remote_quality_score,label
coding_055,"Write a Python implementation of a custom Stack data structure supporting push, pop, peek, and get_minimum operations, all with O(1) time complexity.",coding,medium,medium,149,22,38,1,0,0,0,1,0,2,0.36,0.0,0.25,0.0,0.185,0.1853,3297,3072,0.0,0.007245,0.3776,0.9609,REMOTE
coding_056,"Write a shell script that parses a log file line-by-line, counts occurrences of 'ERROR' messages, and sends a summary report via email if the count exceeds 10.",coding,medium,medium,159,27,40,0,0,0,0,1,0,1,0.0,0.0,0.25,0.0,0.0776,0.0687,3412,2844,0.0,0.00464,0.4509,0.9539,REMOTE
coding_057,"Write a TypeScript class implementing a generic Repository pattern for database CRUD operations, containing get, create, update, and delete methods.",coding,medium,medium,148,20,37,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0737,0.0684,3295,3118,0.0,0.008332,0.4355,0.9368,REMOTE
coding_058,"Write a SQL query to detect duplicate entries in a 'users' table based on the combination of first_name, last_name, and birthdate, returning duplicate counts.",coding,medium,medium,158,24,40,1,0,0,1,0,0,2,0.3,0.0,0.25,0.1,0.0776,0.1707,3340,2891,0.0,0.0039,0.4317,0.9739,REMOTE
coding_059,"Write a Python function that consumes a paginated JSON API using a loop, handling pagination tokens until all data is retrieved.",coding,medium,medium,128,21,32,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0669,0.0679,3164,2839,0.0,0.00602,0.3616,0.9842,REMOTE
coding_060,Write a CSS layout using Grid that creates a responsive grid of cards with auto-fit columns and a minimum column size of 250px.,coding,medium,medium,127,23,32,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0667,0.0678,3353,3039,0.0,0.00548,0.3811,0.925,REMOTE
coding_061,"Write a Python class implementing a thread-safe connection pool for a custom protocol. Must use mutexes or semaphores to handle concurrent checkouts and checkins without deadlocks, and raise an exception if the pool is exhausted after a 5-second timeout.",coding,hard,high,254,39,64,1,0,0,0,1,0,3,0.6625,0.0,0.35,0.3,0.2342,0.341,3838,3067,0.0,0.00971,0.4421,0.9083,REMOTE
coding_062,"Design a relational database schema for an e-commerce platform with multi-tenant isolation, inventory tracking, and transaction ledgers. Provide SQL DDL scripts creating tables, primary and foreign keys, indexes, and a trigger to prevent double-spending of wallet credits.",coding,hard,high,272,37,68,1,0,0,0,0,0,4,0.75,0.0,0.35,0.2,0.1734,0.3504,3735,10689,0.0,0.01605,0.4051,0.9108,LOCAL
coding_063,"Write a Python implementation of a Trie (Prefix Tree) containing insert, search, and startsWith methods. Optimize the memory layout and provide time complexity analysis for each operation using Big-O notation.",coding,hard,high,209,30,53,1,0,0,0,0,0,6,0.72,0.2975,0.9,0.0,0.1717,0.5737,3449,9929,0.0,0.009663,0.376,0.9069,LOCAL
coding_064,"Write a Go service that implements a simplified Raft consensus leader election protocol. Include structure definitions for Raft node, State (Follower, Candidate, Leader), election timeouts, RequestVote RPC payloads, and voting logic.",coding,hard,high,233,31,59,1,0,0,0,0,0,5,0.9,0.0,0.85,0.0,0.2626,0.5035,3577,20188,0.0,0.012718,0.4351,0.9667,LOCAL
coding_065,"Write a Python implementation of Dijkstra's shortest path algorithm utilizing a min-heap priority queue. The function should accept an adjacency list graph and source node, and return shortest paths to all reachable vertices. Analyze time complexity.",coding,hard,high,250,36,63,1,0,0,0,0,0,6,0.9,0.245,0.75,0.0,0.2331,0.5741,3487,3165,0.0,0.008868,0.4933,0.947,REMOTE
coding_066,"Write a SQL query that parses and resolves overlapping datetime booking intervals in a conference room database to find the total minutes each room was occupied, merging contiguous and overlapping intervals.",coding,hard,high,207,31,52,1,0,0,0,0,0,3,0.3,0.0,0.78,0.1,0.092,0.3044,3114,5502,0.0,0.00517,0.4441,0.8731,REMOTE
coding_067,"Write a Python class that parses a raw mathematical expression string containing integers, operators (+, -, *, /), and nested parentheses, evaluating the expression mathematical precedence using a two-stack parsing algorithm (Shunting-yard).",coding,hard,high,241,32,61,1,0,0,0,0,0,2,0.36,0.0,0.25,0.0,0.1017,0.1786,3372,19045,0.0,0.011723,0.2853,0.9192,LOCAL
coding_068,"Write a complete Kubernetes manifest configuring a stateful database application (PostgreSQL) with a StatefulSet, PersistentVolumeClaim templates, Headless Service, ConfigMap for initial database configurations, and rolling update strategy.",coding,hard,high,240,27,60,0,0,0,0,0,0,1,0.0,0.0,0.31,0.1,0.1923,0.1049,3486,3275,0.0,0.00828,0.3336,0.975,REMOTE
coding_069,"Write a Python implementation of an LSTM (Long Short-Term Memory) cell step forward pass from first principles using numpy. Define equations for forget gate, input gate, candidate cell state, cell update, output gate, and hidden state.",coding,hard,high,235,36,59,1,0,0,0,0,0,4,0.85,0.0,0.4,0.0,0.0996,0.363,3400,3574,0.0,0.012828,0.4452,0.925,REMOTE
coding_070,"Write a Rust program that implements a thread-safe, lock-free ring buffer (circular queue) supporting multiple producers and a single consumer, utilizing atomic read/write indices and memory ordering operations (Acquire/Release).",coding,hard,high,229,29,58,1,0,0,0,0,0,6,0.95,0.0,0.95,0.36,0.18,0.5801,3409,18841,0.0,0.008985,0.4945,0.8966,LOCAL
coding_071,"Write a SQL query that retrieves the top 3 highest-spending customers for each country inside an e-commerce database, using analytical window functions and resolving ties by registration date.",coding,hard,high,192,28,48,1,0,0,0,1,0,2,0.3,0.0,0.25,0.1,0.0874,0.1715,3428,5737,0.0,0.00655,0.4261,0.91,REMOTE
coding_072,"Write a Python script implementing a custom memoization decorator that serializes function arguments into a cache key, stores results in a Redis database with an expiration time, and handles network connection failures gracefully.",coding,hard,high,230,33,58,1,0,0,0,0,0,3,0.9,0.0,0.25,0.0,0.1719,0.3463,3298,10543,0.0,0.009505,0.2561,0.97,LOCAL
coding_073,"Write a TypeScript parser for a subset of Markdown that converts headers, bold text, links, and lists into equivalent HTML strings, handling nested formatting and escaping HTML special characters in code blocks.",coding,hard,high,211,32,53,1,0,0,0,0,0,1,0.0,0.0,0.35,0.1,0.0931,0.1069,3504,5974,0.0,0.007593,0.3281,0.9172,REMOTE
coding_074,"Write a Python implementation of a dynamic programming solution to the Knapsack problem. Provide both the recursive version with memoization and the bottom-up tabulated version, detailing the time and space complexity of both approaches.",coding,hard,high,237,34,60,1,0,0,0,0,0,4,0.9,0.0,0.35,0.0,0.269,0.379,3352,10095,0.0,0.00907,0.3399,0.9111,LOCAL
coding_075,"Write a Dockerfile and GitHub Actions workflow configuration that builds a multi-architecture docker image, runs static code analysis (linter, security checks), executes unit tests, and pushes the image to Docker Hub on release tags.",coding,hard,high,233,34,59,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0996,0.0705,3702,11055,0.0,0.013967,0.3235,0.8839,LOCAL
coding_076,"Write a Python function implementing the Bellman-Ford algorithm to find shortest paths from a source vertex, detecting negative weight cycles in a directed graph. Return path list and cycle presence.",coding,hard,high,199,30,50,1,0,0,0,0,0,3,0.9,0.0,0.25,0.0,0.0897,0.3397,3472,18352,0.0,0.010325,0.4638,0.9483,LOCAL
coding_077,"Write a SQL query that performs a multi-dimensional pivot operation, converting monthly sales transactions into a tabular matrix grouped by product category, showing totals, average sales, and year-over-year percentage growth.",coding,hard,high,226,30,57,1,1,0,0,0,0,2,0.3,0.0,0.25,0.1,0.0975,0.1723,3462,11258,0.0,0.020522,0.4062,0.8759,LOCAL
coding_078,"Write a Python implementation of the A* pathfinding algorithm on a 2D grid containing obstacles. The function must accept grid coordinates, starting node, and target node, using Manhattan distance as the heuristic. Return node coordinate path list.",coding,hard,high,248,37,62,1,0,0,0,0,0,3,0.72,0.0,0.25,0.12,0.1782,0.3072,3618,18806,0.0,0.012775,0.3989,0.96,LOCAL
coding_079,"Write a C++ class implementing a lock-free Compare-and-Swap (CAS) based queue. Define structure for node pointers, atomic operations, enqueue/dequeue methods, and handle memory allocation safety under high concurrency.",coding,hard,high,218,28,55,1,0,0,0,0,0,6,0.95,0.245,0.65,0.18,0.1739,0.581,3536,20580,0.0,0.028857,0.4339,0.87,LOCAL
coding_080,"Write a Python script that parses a huge JSON dump (10GB) using stream processing techniques (like ijson or generator pipelines) to count frequency of specific nested key values, minimizing memory footprint under 50MB.",coding,hard,high,218,33,55,1,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0953,0.0701,3537,18526,0.0,0.006938,0.2979,0.9156,LOCAL
creative_writing_001,Write a haiku about debugging code late at night.,creative_writing,easy,low,49,9,13,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0366,0.0654,2193,2651,0.0,0.000213,0.2427,0.2094,LOCAL
creative_writing_002,Write a short two-sentence horror story.,creative_writing,easy,low,40,6,10,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.031,0.065,2790,2457,0.0,0.000505,0.2611,0.3689,REMOTE
creative_writing_003,Write a limerick about a programmer who loves coffee.,creative_writing,easy,low,53,9,14,0,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0384,0.0656,2900,2332,0.0,0.000435,0.3636,0.4139,LOCAL
creative_writing_004,Write a friendly product launch announcement for a new note-taking app called 'Leaf'.,creative_writing,easy,low,85,13,22,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0519,0.0667,3070,2807,0.0,0.005095,0.3153,0.8615,REMOTE
creative_writing_005,Write a short poem about the feeling of finishing a difficult project.,creative_writing,easy,low,70,12,18,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0453,0.0661,3003,2502,0.0,0.001255,0.2733,0.8091,REMOTE
creative_writing_006,Write a brief motivational paragraph for a team that is about to launch their first product.,creative_writing,easy,low,92,16,23,0,0,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0535,0.0668,3087,2570,0.0,0.002057,0.3961,0.84,REMOTE
creative_writing_007,Write a one-paragraph children's story about a curious robot who learns to make friends.,creative_writing,easy,low,88,14,22,0,0,0,0,0,1,1,0.0,0.0,0.25,0.0,0.0519,0.0667,3121,2451,0.0,0.001985,0.2839,0.8714,REMOTE
creative_writing_008,Write a 200-word short story about a scientist who discovers an anomaly in a dataset that changes everything she thought she knew about her research.,creative_writing,medium,medium,149,25,38,0,0,0,0,1,1,1,0.0,0.0,0.35,0.1,0.075,0.1055,3359,2706,0.0,0.003155,0.3326,0.8636,REMOTE
creative_writing_009,Write a tense 150-word dialogue between two astronauts who disagree about whether to abort a mission after an unexpected system failure.,creative_writing,medium,medium,136,21,34,0,0,0,0,1,1,1,0.0,0.0,0.25,0.2,0.0696,0.0921,3343,2732,0.0,0.002405,0.2411,0.7714,REMOTE
creative_writing_010,Write a 200-word first-person narrative from the perspective of the last tree in a city that has been entirely paved over.,creative_writing,medium,medium,122,21,31,0,0,0,0,1,0,1,0.0,0.0,0.25,0.1,0.0655,0.0797,3334,2759,0.0,0.002847,0.2939,0.8571,REMOTE
creative_writing_011,"Write a 150-word product description for a fictional AI-powered writing assistant called 'Quill', targeting professional writers. Use vivid, persuasive language.",creative_writing,medium,medium,161,20,41,0,0,0,0,1,0,1,0.0,0.0,0.35,0.1,0.0788,0.1058,3419,2597,0.0,0.002633,0.346,0.8143,REMOTE
creative_writing_012,Write a 200-word scene where a chef is teaching an apprentice a secret family recipe. Focus on sensory detail and the emotional tension between tradition and the apprentice's desire to innovate.,creative_writing,medium,medium,194,31,49,0,0,0,0,1,1,2,0.0,0.0,0.45,0.1,0.0885,0.188,3531,2760,0.0,0.003073,0.2782,0.8286,REMOTE
creative_writing_013,"Write the opening 200 words of a science fiction novel set in a city where all citizens have their memories backed up to the cloud, and the protagonist discovers that their memories have been edited.",creative_writing,medium,medium,199,35,50,0,0,0,0,1,1,2,0.0,0.0,0.45,0.0,0.0896,0.171,3780,2916,0.0,0.003075,0.3081,0.8759,REMOTE
creative_writing_014,"Write a 150-word spoken word poem about the relationship between humans and technology, exploring both dependency and liberation.",creative_writing,medium,medium,129,18,33,0,0,0,0,1,0,1,0.0,0.0,0.35,0.1,0.0683,0.105,4820,2613,0.0,0.002193,0.2687,0.7706,REMOTE
creative_writing_015,"Write a 400-word short story told from two alternating perspectives — a doctor and a patient — in the same hospital room, revealing through their private thoughts that each is hiding the same secret. The story must end with an ambiguous final line that works for both perspectives.",creative_writing,hard,high,281,48,71,0,0,0,0,1,0,2,0.1875,0.0,0.45,0.22,0.1115,0.2041,20039,3246,0.0,0.006598,0.0,0.8462,REMOTE
creative_writing_016,"Write the first act of a three-act screenplay outline for a psychological thriller in which a data analyst at a surveillance company discovers the company is being used to monitor the analyst's own family. Include scene descriptions, character motivations, and the act's inciting incident and turning point.",creative_writing,hard,high,307,47,77,0,0,0,0,0,1,3,0.0,0.0,0.65,0.1,0.1165,0.2776,20446,3823,0.0,0.007442,0.0,0.9,REMOTE
creative_writing_017,Write a 350-word literary short story using an unreliable narrator who is describing a childhood memory. The reader must be able to detect through subtle clues in the narration that the memory has been significantly distorted. Avoid revealing the distortion explicitly — show it only through contradiction and omission.,creative_writing,hard,high,319,49,80,0,0,0,0,1,1,2,0.0,0.0,0.45,0.22,0.1198,0.2121,23459,10926,0.0,0.00459,0.0,0.7907,REMOTE
